portfolio_type,expected_annual_return_pct,annual_volatility_pct,sharpe_ratio,weight_Mirae_Asset_Large_Cap_Fund,weight_ICICI_Pru_Midcap_Fund,weight_Kotak_Flexicap_Fund,weight_HDFC_Mid-Cap_Opportunities_Fund,weight_ICICI_Pru_Bluechip_Fund
MSR,26.270143206486395,6.9442161159234255,2.8469942289313974,15.14980381642875,20.395326447459215,15.02890825036905,21.382598295861136,28.04336318988185
MVP,26.000832645395228,6.886104881227722,2.831910489565246,14.21219785115654,24.486265573804538,13.823840381604539,19.669699831603047,27.80799636183134
